Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
115125230	Flatland: A Romance of Many Dimensions (Dover Thrift Editions)		Abbott, Edwin A.											Paperback	96 p.; 8.25 inches	0.19 pounds	8.25 inches	0.25 inches	5.25 inches	8.25 x 5.25 x 0.25 inches																												
115125308	The Great Gatsby		Fitzgerald, F Scott											Paperback	7.2 inches	0.5 pounds	7.2 inches	0.7 inches	4.3 inches	7.2 x 4.3 x 0.7 inches																												
115211813	The Pentagon's New Map		Barnett, Thomas P.M.											Paperback	448 p.; 6 inches	1.04 pounds	6 inches	8.84 inches	0.99 inches	6 x 0.99 x 8.84 inches																												
115228303	Young Money: Inside the Hidden World of Wall Street's Post-Crash Recruits		Roose, Kevin											Hardcover	336 p.; 9.25 inches	1.15 pounds	9.25 inches	1.25 inches	6.25 inches	9.25 x 6.25 x 1.25 inches																												
115335502	The Cobra		Forsyth, Frederick											Paperback	432 p.; 4.48 inches	0.02 pounds	4.48 inches	7.69 inches	0.96 inches	4.48 x 0.96 x 7.69 inches																												
115394926	Get Shorty		Leonard, Elmore											Paperback	6.8 inches	0.4 pounds	6.8 inches	1.4 inches	4.2 inches	6.8 x 4.2 x 1.4 inches																												
115572311	No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden		Owen, Mark											Hardcover	316 p.; 9.31 inches	1.34 pounds	9.3125 inches	1.375 inches	6.375 inches	9.3125 x 6.375 x 1.375 inches																												
115573026	The Postman		Brin, David											Paperback	321 p.; 6.8 inches	0.4 pounds	6.8 inches	0.9 inches	4.1 inches	6.8 x 4.1 x 0.9 inches																												
115573068	The Enemy (Jack Reacher)		Child, Lee											Paperback	496 p.; 4.18 inches	0.63 pounds	4.18 inches	7.52 inches	1.14 inches	4.18 x 1.14 x 7.52 inches																												
115573126	The Voices of Silence		Malraux, Andre											Paperback	661 p.; 6.69 inches	2.15 pounds	6.69 inches	9.61 inches	1.38 inches	6.69 x 1.38 x 9.61 inches																												
115573342	Make Magazine Vol 43 February/March 2015		Staff, Make Magazine Editorial											Magazine (paper)	112 p.; 10.5 inches	0.6 pounds	10.5 inches	0.2 inches	8.25 inches	10.5 x 8.25 x 0.2 inches																												
115613793	The Deep		Cutter, Nick											Hardcover	400 p.; 9.31 inches		9.3125 inches	1.25 inches	6.4375 inches	9.3125 x 6.4375 x 1.25 inches																												
115613806	The Secret Service: Kingsman		Millar, Mark											Paperback	160 p.; 10.13 inches		10.125 inches	0.25 inches	6.625 inches	10.125 x 6.625 x 0.25 inches																												
115613811	The Reckoning: Death and Intrigue in the Promised Land---A True Detective Story		Bishop, Patrick											Hardcover	320 p.; 9.31 inches		9.3125 inches	1.125 inches	6.1875 inches	9.3125 x 6.1875 x 1.125 inches																												
