Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
115125230	Flatland: A Romance of Many Dimensions (Dover Thrift Editions)		Abbott, Edwin A.											Paperback	96 p.; 8.25 inches	0.19 pounds	8.25 inches	0.25 inches	5.25 inches	8.25 x 5.25 x 0.25 inches																												
115125308	The Great Gatsby		Fitzgerald, F Scott											Paperback	7.2 inches	0.5 pounds	7.2 inches	0.7 inches	4.3 inches	7.2 x 4.3 x 0.7 inches																												
115394926	Get Shorty		Leonard, Elmore											Paperback	6.8 inches	0.4 pounds	6.8 inches	1.4 inches	4.2 inches	6.8 x 4.2 x 1.4 inches																												
115573026	The Postman		Brin, David											Paperback	321 p.; 6.8 inches	0.4 pounds	6.8 inches	0.9 inches	4.1 inches	6.8 x 4.1 x 0.9 inches																												
115573126	The Voices of Silence		Malraux, Andre											Paperback	661 p.; 6.69 inches	2.15 pounds	6.69 inches	9.61 inches	1.38 inches	6.69 x 1.38 x 9.61 inches																												
115573342	Make Magazine Vol 43 February/March 2015		Staff, Make Magazine Editorial											Magazine (paper)	112 p.; 10.5 inches	0.6 pounds	10.5 inches	0.2 inches	8.25 inches	10.5 x 8.25 x 0.2 inches																												
115613793	The Deep		Cutter, Nick											Hardcover	400 p.; 9.31 inches		9.3125 inches	1.25 inches	6.4375 inches	9.3125 x 6.4375 x 1.25 inches																												
115613806	The Secret Service: Kingsman		Millar, Mark											Paperback	160 p.; 10.13 inches		10.125 inches	0.25 inches	6.625 inches	10.125 x 6.625 x 0.25 inches																												
115978822	The Last Lion Box Set: Winston Spencer Churchill, 1874 - 1965		Manchester, William											Hardcover	3008 p.; 6.5 inches	9.45 pounds	6.5 inches	10 inches	6.5 inches	6.5 x 6.5 x 10 inches																												
116117062	Never Cry Wolf		Mowat, Farley											Paperback	6.7 inches	0.25 pounds	6.7 inches	0.5 inches	4.2 inches	6.7 x 4.2 x 0.5 inches																												
116117087	Looking Backward (Signet Classics)		Bellamy, Edward											Paperback	240 p.; 4.24 inches	0.26 pounds	4.24 inches	6.72 inches	0.67 inches	4.24 x 0.67 x 6.72 inches																												
116117188	War Is a Force that Gives Us Meaning		Hedges, Chris											Paperback	224 p.; 8.25 inches	0.55 pounds	8.25 inches	0.625 inches	5.5625 inches	8.25 x 5.5625 x 0.625 inches																												
116117241	Morte		Repino, Robert											Hardcover	368 p.; 5.81 inches	1.25 pounds	5.81 inches	8.55 inches	1.17 inches	5.81 x 1.17 x 8.55 inches																												
116675517	Trigger Warning: Short Fictions and Disturbances		Gaiman, Neil											Hardcover	400 p.; 9.31 inches		9.3125 inches	1.1875 inches	6.4375 inches	9.3125 x 6.4375 x 1.1875 inches																												
